Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
Aruba,ABW,"Agriculture, value added (% of GDP)",NV.AGR.TOTL.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0,54894785","0,5568445476","0,5335704758","0,4775169121","0,4375505918","0,4183981933","0,4443037034","0,4381743261","0,4347123063","0,4351083276","0,4257778214","0,4213182324","0,4313363589","0,4495217575","0,4279882309","0,5062524448","0,4983843309","0,5124184268",,,,,
Andorra,AND,"Agriculture, value added (% of GDP)",NV.AGR.TOTL.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0,4719337452","0,4377739856","0,3873972603","0,4269481291","0,4235520479","0,3832473802","0,3596956421","0,3757127794","0,4144061033","0,4011677254","0,4638608101","0,4964711609","0,5680681192","0,5238875562",,,
Afghanistan,AFG,"Agriculture, value added (% of GDP)",NV.AGR.TOTL.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"38,4719400286","37,7654435078","30,2716744733","31,7509905365","29,2497367788","30,6228536689","25,394740533","30,2056024682","27,0915400061","24,5074404194","24,6032470715","23,8913721393","23,4631255351","21,7154165754",
Angola,AGO,"Agriculture, value added (% of GDP)",NV.AGR.TOTL.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,"13,7915000916","13,6809997559","14,2010002137","18,9904994965","17,7290000916","18,3556671143",25,"11,5384615385","11,5241635688","6,6430183812","7,3122529644","7,0268691659","9,0020179417","13,0337582808","6,2902568284","5,6646895635","8,1563770225",,,,,,,,,,,,,,,
Albania,ALB,"Agriculture, value added (% of GDP)",NV.AGR.TOTL.ZS,,,,,,,,,,,,,,,,,,,,,"33,600206163","32,400298839","31,6997104691","34,1000974785","33,0999410472","34,600012088","34,0000003795","33,2000247238","31,4998818203","32,3001976998","35,9007899108","39,295295159","51,6418702727","54,6409764928","53,6209806103","55,8121447108","37,4796047456","32,7001599192","30,4752181661","27,1177320806","26,4904623102","24,4530545716","24,2359328702","24,3326986064","22,9325210851","21,2343279029","20,2223444446","19,8747975889","19,4205347268","19,4097808204","20,6581888515","20,9581241497","21,6606803268","22,5030899684","22,9201994697","22,1319325488",
Arab World,ARB,"Agriculture, value added (% of GDP)",NV.AGR.TOTL.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"9,9081689774","10,3560931369","9,8821504161","9,5612977873","8,6475761948","7,7369370568","7,5257078453","7,1050671116","6,2261369664",,"6,2452159904","6,1372924773","6,2518677633","6,5055717961","6,4317065015","6,9237439982",
United Arab Emirates,ARE,"Agriculture, value added (% of GDP)",NV.AGR.TOTL.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Argentina,ARG,"Agriculture, value added (% of GDP)",NV.AGR.TOTL.ZS,,,,,,"12,9041629887","10,2785862835","9,9803863167","9,7212769854","9,1858927293","9,6375609641","10,8659477474","10,9848698718","11,9525477974","10,2308377489","6,5839104917","8,1521707122","8,0871421141","7,5044274779","7,796277359","6,3535050048","6,4755229606","9,5961560462","8,6583249612","8,3459768371","7,6343072573","7,8004026402","8,0943584644","8,9778682178","9,6160650964","8,1236762079","6,7164917601","5,9907870915","5,492024824","5,5138665754","5,7870038106","6,0812546421","5,6733668388","5,7029339076","4,8153295038","5,0530214888","4,8928060744","10,8220871798","11,0423301529","9,8293565477","9,287181467","8,1245356869","8,7819708329","8,6812740408","6,2519361037","8,4456020773","8,2875525979","6,8473949813","7,18872235","7,9503257164","6,0009152738",
Armenia,ARM,"Agriculture, value added (% of GDP)",NV.AGR.TOTL.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"17,3762697212","24,9734607219","31,0427206296","51,3655909174","44,8709973041","42,2553129522","36,8259627223","31,9686774328","33,9957279657","29,4640212815","25,5478701562","28,3281547064","25,9618988244","23,6820980482","24,6622000033","20,8925173798","20,4510979087","20,2820602192","18,3981208907","18,9138922966","19,1530515742","22,8154155645","20,0680700112","20,7403685968","20,3776674329","19,3260620235",
American Samoa,ASM,"Agriculture, value added (% of GDP)",NV.AGR.TOTL.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Antigua and Barbuda,ATG,"Agriculture, value added (% of GDP)",NV.AGR.TOTL.ZS,,,,,,,,,,,,,,,,,,"10,9633923508","10,2731993678","8,2317774201","7,1167457416","6,7731011127","6,2117676736","6,1217039679","4,7837402404","4,9391400738","4,4574450744","4,5191282994","4,1834460648","3,9900745579","4,177577833","4,1564584725","4,2307336764","4,0953510164","3,7258175905","3,8795335631","3,8533734436","4,1068198745","3,9669070853","3,9449969962","1,8856869877","1,8930725211","1,9997959065","2,0331273673","1,9174656967","2,0740166362","1,9512622524","1,9365802171","1,836498169","1,7454604213","1,9271143682","2,2721366377","2,2168469849","2,2837342736","1,9056041751","2,1176119033",
Australia,AUS,"Agriculture, value added (% of GDP)",NV.AGR.TOTL.ZS,,,,,,,,,,,,,"7,0337418358","8,5501159177","9,5909002193","7,2317298007","6,3160597985","6,1525998162","5,4546720424","7,758435542","7,8771866681","6,6925998185","6,1009226767","4,4358019957","6,1332140311","5,6738430567","5,0912447469","4,9582460945","5,208420669","5,3646897639","4,5871363529","3,4796523485","3,3493881668","3,5484803506","3,6412408801","3,3105326145","3,7156933766","3,5545250695","3,3172240908","3,328311934","3,3868051675","3,8373652576","4,3093560544","3,1807857703","3,3782941675","3,161271122","2,9767114757","2,4014016491","2,5203360326","2,4667681328","2,3782304844","2,4664067965","2,4469745662","2,4811148508","2,4094308706","2,5022306268",
Austria,AUT,"Agriculture, value added (% of GDP)",NV.AGR.TOTL.ZS,,,,,,,,,,,,,,,,,"5,7753806305","4,9974702995","4,9888333018","4,8408532887","4,8849721038","4,486448066","4,1168834609","3,8591106178","4,0881623076","3,567589196","3,6574698887","3,6234279521","3,4638707421","3,419524303","3,5006423647","3,1775917804","2,7713757607","2,487819501","2,6747154932","2,4083317116","2,2257090865","2,147733318","2,0208737519","1,9433197708","1,8494948898","1,8746171032","1,7574975631","1,6770086099","1,6662047162","1,423284544","1,4701118846","1,599578734","1,5148875457","1,2977215735","1,4341199595","1,6109311983","1,535812404","1,4359838706","1,3699304269","1,2903791343",
Azerbaijan,AZE,"Agriculture, value added (% of GDP)",NV.AGR.TOTL.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"29,0250280164","32,3150168617","28,5056167026","28,4886211513","32,9921939736","27,2884283247","27,5296626031","21,7345815355","18,9289633389","19,156071596","17,1433734668","16,1030135465","15,1716766675","13,4615144404","11,8426705077","9,8954733932","7,5009183589","7,0021857057","5,9708507127","6,6465394996","5,9209765273","5,393453691","5,4920572274","5,6608104856","5,6918289048","6,7913680034",
