Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
Aruba,ABW,"Manufacturing, value added (% of GDP)",NV.IND.MANF.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,5553522415","2,8306264501","2,7567807915","2,7059291683","3,0263915932","3,9301820138","4,2501284442","4,1901796106","4,1577526804","4,1628959276","4,0737833167","4,0308635848","4,1272770944","4,3002500256","4,0938297428","4,6183548057","4,5482277855","4,6749737639",,,,,
Andorra,AND,"Manufacturing, value added (% of GDP)",NV.IND.MANF.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"3,6039174445","3,2905408257","3,3057534247","3,5368230875","3,5765671426","3,3404928998","3,3199127366","3,2926908338","3,422877267","3,3235261653","3,6107527052","3,5333008842","3,2858922263","3,1641664181",,,
Afghanistan,AFG,"Manufacturing, value added (% of GDP)",NV.IND.MANF.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"18,7468435454","17,0806115937","17,8791267796","16,937528628","16,736760999","18,052620748","18,1992073728","13,5574930986","12,9432846196","14,2224325434","12,8294648642","12,0291053691","12,2816924002","12,0183164724",
Angola,AGO,"Manufacturing, value added (% of GDP)",NV.IND.MANF.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,"9,8695001602","10,3839998246","8,0760002137","9,8365001679","5,6883335114","5,1180000305","12,5","3,8461538462","5,5762081784","4,9500161238","4,007465964","3,4457499943","4,3783911838","6,3187959067","3,2228757789","2,890163321","3,8731008144",,,,,,,,,,,,,,,
Albania,ALB,"Manufacturing, value added (% of GDP)",NV.IND.MANF.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"9,1049404101","8,1077759393","7,0244202064","6,7553690518","7,1972411789","6,6431871686","6,3624798787","8,3024130484","9,457842482","10,1862413063","10,7635980885","8,8358500821","5,7646071463","6,0069894624","6,2726595141","6,5103452032","5,3259830213","5,5753868042","5,4839489283","5,7198028995",
Arab World,ARB,"Manufacturing, value added (% of GDP)",NV.IND.MANF.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"13,4858236869",,,,,,,,,,,,,,,,
United Arab Emirates,ARE,"Manufacturing, value added (% of GDP)",NV.IND.MANF.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Argentina,ARG,"Manufacturing, value added (% of GDP)",NV.IND.MANF.ZS,,,,,,"41,1841601794","41,0079019063","37,824027244","36,1962188355","36,6457617783","31,5447436579","35,763074099","36,3580735301","34,3340473691","34,0368852105","38,2151082839","39,1167603279","36,5949867349","34,1276092102","32,6851576732","29,4760969895","28,7652362921","31,3602562636","30,6694675313","29,7084408031","29,6418473139","27,4195971595","27,49664628","27,9996758567","30,9493718884","26,7897045522","24,3864490932","21,8591315587","19,5011551532","19,3309278622","18,6503417155","19,0057128748","19,8035485902","19,3667502574","18,3217020336","17,8093315921","17,235527699","21,5746367508","24,0415757428","22,2604256748","21,4571202068","20,9438989339","20,0938036195","19,6146755894","18,4732874955","18,7512677717","18,7175772496","18,0180540529","17,8200562892","17,446840183","17,2236322098",
Armenia,ARM,"Manufacturing, value added (% of GDP)",NV.IND.MANF.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"32,7858223471","37,3274946921","33,1330803822","22,8550805983","30,075332764","25,1990878865","24,7944761879","24,4119236664","21,9191760742","23,1229264208","18,5301252287","17,3552710671","16,7383120976","16,8402284076","14,8052956962","14,8194216566","11,8538304878","10,4139684465","9,9751361492","9,7223944306","10,9117283017","11,8632283639","10,5588160703","10,8935592154","10,8996459232","10,3516885646",
American Samoa,ASM,"Manufacturing, value added (% of GDP)",NV.IND.MANF.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
