Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
Aruba,ABW,"Industry, value added (% of GDP)",NV.IND.TOTL.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"16,6514181153","16,6125290023","16,4072921298","18,7027457222","19,0334507427","16,9734448118","17,1485073011","17,2234280142","16,5203114505","18,3377783105","19,5143625054","20,6294436928","22,115722539","22,6898848071","21,2214384624","16,8120733385","16,3846673379","16,3317692187",,,,,
Andorra,AND,"Industry, value added (% of GDP)",NV.IND.TOTL.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14,2500328645","14,5074439667","14,9331506849","15,4766319593","15,843400676","16,1522881898","16,4569624519","15,8710496412","15,8978920933","14,718364271","13,7602805329","12,5695627484","11,1996406183","10,4193143693",,,
Afghanistan,AFG,"Industry, value added (% of GDP)",NV.IND.TOTL.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"23,7140971504","22,9212075241","26,7125402656","27,3602176144","28,8154655619","27,3447032583","27,4589327957","22,5758835629","21,8623407295","23,4717515844","21,8473249531","21,1532682184","22,3292163241","23,2832848827",
Angola,AGO,"Industry, value added (% of GDP)",NV.IND.TOTL.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,50,50,50,50,"33,3333333333","33,3333333333","37,5","53,8461538462","51,3011152416","66,9783940664","66,2567706046","67,8206759362","60,7577413895","55,6809402456","72,7173723138","72,1229549419","64,8838115415",,,,,,,,,,,,,,,
Albania,ALB,"Industry, value added (% of GDP)",NV.IND.TOTL.ZS,,,,,,,,,,,,,,,,,,,,,"44,9999990024","43,0000618615","43,8001704545","43,3000498081","43,9999991278","43,3001261531","44,2001147545","45,8001516629","46,2999753057","44,8000634056","48,2007978624","42,696905804","23,320558812","22,9017068225","21,730684051","22,4979416661","15,3438454864","15,3776513671","13,1098452792","13,9747463425","16,7053720353","18,3148755223","19,5960719229","23,1832979802","24,5815827025","25,2165109948","26,4052331435","25,3343548857","29,0216756978","28,2155946939","28,6905465782","28,1535016063","26,4525977975","26,3683308734","24,6475969868","25,4246015686",
Arab World,ARB,"Industry, value added (% of GDP)",NV.IND.TOTL.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"58,2944011652","56,8638368068","57,2788297581","56,680407914","56,0316221634","56,0078451413","55,3604265236","53,9857099284","55,847706037",,"52,4047484049","53,3768588767","52,1760661327","50,4214629666","48,7283723535","41,4297555224",
United Arab Emirates,ARE,"Industry, value added (% of GDP)",NV.IND.TOTL.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Argentina,ARG,"Industry, value added (% of GDP)",NV.IND.TOTL.ZS,,,,,,"48,414476422","49,6049884943","47,3834143823","47,0360652886","47,3865568872","42,2787896345","45,9550048911","45,5816489507","43,3523317317","43,592802624","50,1413236785","50,8936968312","47,8061321946","46,0976480125","44,0281237959","41,2196656664","40,3382267073","41,1028486443","41,556306512","39,708187933","39,2761545712","37,3804348915","37,8286752699","38,4866110821","42,3478130696","36,0218813478","32,7225282556","30,6839549022","29,2291435655","29,0245200032","28,4416453891","28,8218415409","29,5285518595","29,0014145659","28,2939183558","28,0630654161","27,0352895457","32,400285613","34,9022359974","33,8741413274","33,4899423938","34,2106862682","32,3112881262","31,1600140971","29,9731960228","29,8987060627","29,7819448351","28,9289698632","28,5072744981","28,6886364282","27,7695515153",
Armenia,ARM,"Industry, value added (% of GDP)",NV.IND.TOTL.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"51,9559109574","49,2436305732","39,4006464306","26,9493772928","36,9783932296","31,9866600382","32,5858267586","33,1998286592","30,7551128714","32,1967755256","38,9825393533","36,4069162795","38,9756128163","41,9872893819","41,1206473916","45,298177741","44,6575534072","43,9088082786","43,5475314733","35,8056579817","37,0300264676","33,8388674568","31,1754590628","30,0495052109","28,4945485027","28,7815833714",
American Samoa,ASM,"Industry, value added (% of GDP)",NV.IND.TOTL.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Antigua and Barbuda,ATG,"Industry, value added (% of GDP)",NV.IND.TOTL.ZS,,,,,,,,,,,,,,,,,,"15,2857412891","13,8349514563","15,7829386066","18,1146457183","18,4636118598","14,6086901684","14,2427901491","15,4046350229","16,56967449","19,0922098857","20,3129102507","20,8690099178","22,0384610883","20,1011660959","20,8671396905","19,3880380858","18,1943355453","18,0328872027","18,3530063037","17,8709312524","18,1698660952","18,3071701315","19,3712035245","16,4032443529","15,1168033852","15,0737511148","15,3342709342","15,5493246396","17,1434280469","21,7914093258","21,3932450098","22,7077980607","22,7269260134","19,1092390291","17,080356848","16,6399230071","17,7525270807","19,1740461852","20,2439538876",
Australia,AUS,"Industry, value added (% of GDP)",NV.IND.TOTL.ZS,,,,,,,,,,,,,"39,1002608118","38,6750004724","37,1931659242","38,6885463889","39,0218028135","38,5954923707","37,9399995688","37,4681089997","37,8394149678","39,1097993331","37,8281000489","36,7141586776","36,7586550862","37,3278852971","37,0476950168","34,5694537085","33,0525950318","31,360042553","31,3436504713","30,238042944","29,4781149979","29,1712924611","29,1276145548","28,9845079546","28,473468447","27,6442425178","27,7328794687","26,8550859185","26,7768975379","25,9685000745","25,7859546806","26,3835589807","26,2044170649","26,776207325","27,8882037615","27,8964886934","27,7337093566","28,9364951276","27,1078620067","28,5511591777","28,2800161831","26,8649984931","27,1055734017","25,5517305669",
Austria,AUT,"Industry, value added (% of GDP)",NV.IND.TOTL.ZS,,,,,,,,,,,,,,,,,"38,4143459684","38,0388559619","38,2057079418","37,1165641671","37,1521511163","36,7713155829","35,8320255413","35,3599538556","34,3316006079","34,6115989733","34,2610795879","33,6815835115","33,5065366572","33,2162529906","33,378365417","33,3160854372","32,744401697","31,9101724102","32,0137377547","32,1572768675","32,2274003678","32,1557455435","31,9883742231","31,9818823799","31,6436454334","31,483947261","30,6161725321","30,659170454","30,601385201","30,3633428043","30,4898826072","30,8255909575","30,1298450364","28,9171537148","28,6889867802","28,5328322446","28,785862997","28,5843720043","28,2733152587","28,3409929876",
Azerbaijan,AZE,"Industry, value added (% of GDP)",NV.IND.TOTL.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"32,9099738513","31,3826621702","39,9659593782","33,7841365462","28,2046193732","33,5984963934","39,0773262154","39,9454310469","36,4568366042","40,7104443035","45,3333032144","47,1781949759","50,1784375684","52,5839957797","54,7191266773","63,5953697305","68,7131633697","68,494451554","70,2223848155","61,0832075385","64,0677573971","65,5811904271","63,0521953626","62,0737915841","58,3045631599","36,9931249762",
