Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
Aruba,ABW,"Services, etc., value added (% of GDP)",NV.SRV.TETC.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"82,7996340348","82,8306264501","83,0591373944","80,8197373657","80,5289986655","82,6081569949","82,4071889955","82,3383976597","83,0449762432","81,2271133619","80,0598596732","78,9492380748","77,4529411021","76,8605934355","78,3505733067","82,6816742167","83,1169483312","83,1558123545",,,,,
Andorra,AND,"Services, etc., value added (% of GDP)",NV.SRV.TETC.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"77,1105560668","76,205235198","75,6049315068","75,8360671326","75,2292289224","74,8894478711","75,2899026268","75,2138764618","75,8571836493","77,1867256873","77,7703018262","77,8186095563","78,1724623772","79,3366815279",,,
Afghanistan,AFG,"Services, etc., value added (% of GDP)",NV.SRV.TETC.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"37,813962821","39,3133489681","43,0157852611","40,8887918491","41,9347976592","42,0324430729","47,1463266713","47,2185139689","51,0461192644","52,0208079962","53,5494279754","54,9553596423","54,2076581409","55,0012985505",
Angola,AGO,"Services, etc., value added (% of GDP)",NV.SRV.TETC.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,50,50,50,50,"33,3333333333","33,3333333333","37,5","38,4615384615","37,1747211896","26,3785875524","26,430976431","25,1524548979","30,2402406688","31,2853014736","20,9923708578","22,2123554946","26,959811436",,,,,,,,,,,,,,,
Albania,ALB,"Services, etc., value added (% of GDP)",NV.SRV.TETC.ZS,,,,,,,,,,,,,,,,,,,,,"21,3997948346","24,5996392994","24,5001190764","22,5998527135","22,900059825","22,0998617589","21,799884866","20,9998236133","22,2001428739","22,8997388946","15,8984122268","18,007799037","25,0375709153","22,4573166847","24,6483353388","21,6899136232","47,176549768","51,9221887137","56,4149365547","58,907521577","56,8041656546","57,2320699061","56,1679952069","52,4840034134","52,4858962124","53,5491611023","53,3724224119","54,7908475134","51,5577895646","52,3746244857","50,6512645796","50,888374244","51,8867218757","51,1285791582","52,4321702631","52,4434658826",
Arab World,ARB,"Services, etc., value added (% of GDP)",NV.SRV.TETC.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"45,1268459691","47,2337725044","45,8927725482","43,7109136273","43,1774565058","40,3679332918","40,2508908534","40,9220084642","37,8689575795",,"43,2363778648","40,3417108231","41,4021752101","42,8130056858","44,5687615038","51,6824818933",
United Arab Emirates,ARE,"Services, etc., value added (% of GDP)",NV.SRV.TETC.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Argentina,ARG,"Services, etc., value added (% of GDP)",NV.SRV.TETC.ZS,,,,,,"38,6813582857","40,1164246068","42,6362011624","43,2426585257","43,4275469831","48,0836525009","43,1790464604","43,4334758187","44,6951229894","46,1763596271","43,2747682872","40,9540839989","44,1066558214","46,3979525031","48,1755980554","52,4268325073","53,1862535984","49,3009953095","49,7853685268","51,9458352299","53,0895381715","54,8191624683","54,0769662656","52,5355207001","48,0360922413","55,8544476444","60,5611985052","63,3252164422","65,2788255981","65,4616134215","65,7713508003","65,096903817","64,7980813017","65,2956515265","66,8907521404","66,8839130951","68,0719043799","56,7776272072","54,0554338498","56,2965021249","57,2228761392","57,6647780448","58,9067410409","60,1587118621","63,7748678735","61,65569186","61,930502567","64,2236351555","64,3040031519","63,3610378554","66,2295332109",
Armenia,ARM,"Services, etc., value added (% of GDP)",NV.SRV.TETC.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"30,6678193214","25,7829087049","29,5566329399","21,6850317897","18,1506094664","25,7580270096","30,5882105191","34,831493908","35,249159163","38,3392050063","35,4695904905","35,2649290141","35,0624883593","34,3306125699","34,2171526051","33,8093048792","34,8913486841","35,8091315022","38,054347636","45,2804497217","43,8169219582","43,3457169787","48,756470926","49,2101261923","51,1277840644","51,8923546051",
American Samoa,ASM,"Services, etc., value added (% of GDP)",NV.SRV.TETC.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Antigua and Barbuda,ATG,"Services, etc., value added (% of GDP)",NV.SRV.TETC.ZS,,,,,,,,,,,,,,,,,,"73,75086636","75,8918491759","75,9852839733","74,7686085401","74,7632870274","79,179542158","79,635505883","79,8116247366","78,4911854363","76,4503450399","75,16796145","74,9475440174","73,9714643539","75,7212560711","74,9764018369","76,3812282378","77,7103134383","78,2412952068","77,7674601332","78,275695304","77,7233140304","77,7259227832","76,6837994793","81,7110686593","82,9901295231","82,926447724","82,6326016985","82,5332096637","80,7825510418","76,2573322","76,6701781752","75,4557069785","75,5276135653","78,9636427976","80,6475026875","81,143230008","79,9637386457","78,9203531498","77,6384342091",
Australia,AUS,"Services, etc., value added (% of GDP)",NV.SRV.TETC.ZS,,,,,,,,,,,,,"53,8659988594","52,7748824898","53,2159345942","54,0797239692","54,6621381985","55,2519065144","56,6053338416","54,7734573608","54,2834009611","54,1975963208","56,0709819058","58,8500393267","57,1081303571","56,9982711635","57,8610642688","60,4723017786","61,7389828814","63,2752676831","64,0478378898","66,2608641084","67,1508845596","67,2583634769","67,2091759455","67,6832200617","67,7906699155","68,7850061679","68,9414049376","69,8109968645","69,8270931265","70,1857520739","69,8896089113","70,4114225162","70,3857492045","70,062521553","69,1350847627","69,7021096575","69,7459546108","68,5967367396","70,5139075089","68,9824340258","69,2730092508","70,6538866561","70,4849957277","71,9460388062",
Austria,AUT,"Services, etc., value added (% of GDP)",NV.SRV.TETC.ZS,,,,,,,,,,,,,,,,,"55,8102734011","56,9636737386","56,8054587564","58,0425825442","57,9628767799","58,742236351","60,0510909978","60,7809355266","61,5802370844","61,8208118307","62,0814505234","62,6949885364","63,0295926007","63,3642227064","63,1209922183","63,5063227824","64,4842225423","65,6020080888","65,311546752","65,4343914209","65,5468905457","65,6965211386","65,990752025","66,0747978493","66,5068596767","66,6414356358","67,6263299048","67,6638209361","67,7324100829","68,2133726517","68,0400055082","67,5748303085","68,3552674179","69,7851247118","69,8768932603","69,8562365571","69,678324599","69,9796441251","70,3567543144","70,3686278781",
Azerbaijan,AZE,"Services, etc., value added (% of GDP)",NV.SRV.TETC.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"38,0649981322","36,3023209681","31,5284239192","37,7272423025","38,8031866532","39,1130752819","33,3930111815","38,3199874177","44,614200057","40,1334841005","37,5233233188","36,7187914776","34,6498857641","33,9544897798","33,4382028151","26,5091568763","23,7859182714","24,5033627403","23,8067644718","32,2702529619","30,0112660755","29,0253558819","31,45574741","32,2653979303","36,0036079353","56,2155070205",
Burundi,BDI,"Services, etc., value added (% of GDP)",NV.SRV.TETC.ZS,,,,,,,,,,,"19,2010302719","20,3039648855","23,0728645592","19,5642305946","21,0528613729","20,8503914618","22,4176684656","22,1626491561","23,1892014807","22,8064985529","25,1310822285","25,2700251524","27,6960944064","27,2534897495","26,0288217168","25,4607984532","27,9596013742","27,761697947","29,0876785146","26,6565692372","25,1580599273","26,0931706828","25,2938071676","24,9333053353","30,7438309404","32,6071910607","30,1480704724","36,6454526377","36,1251707651","35,9042945459","35,0082099453","37,0689327126","37,5154399186","36,6050465701","36,8523726932","37,0503921392","38,9453515495","44,6255278169","43,4259312076","42,8363161327","42,8472728463","42,7533832399","42,5320360092","42,4386616611","42,4273715994","39,4858424923",
Belgium,BEL,"Services, etc., value added (% of GDP)",NV.SRV.TETC.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"69,5994074214","69,7574706282","69,3423877514","70,0176694168","71,0415572199","70,8829362282","71,7451520063","72,3887285241","73,1339684736","73,3313062032","73,9624940932","74,0392042102","74,0408410316","74,8982678083","76,3928183434","75,971239722","76,2716759857","76,6716835151","76,9842609146","77,2961115026","77,0736906005",
Benin,BEN,"Services, etc., value added (% of GDP)",NV.SRV.TETC.ZS,"43,6151323349","43,9927671433","45,499418153","44,8122107049","43,6784103636","47,398726435","43,545567237","46,505924289","50,2631170503","50,4402718429","51,9683960353","52,1614596957","51,8808534288","52,0799538793","51,3820792425","53,2970057362","53,893459287","55,5879264538","51,4524925015","51,6637677149","52,2856404483","54,4249432096","52,3763800494","51,4853819246","49,618987295","51,7520242428","54,2210946874","54,3544840993","52,22523679","49,3750999207","52,8916695846","52,9735960804","53,3304153765","53,6634374196","54,3679410147","53,5175289966","51,0277586233","50,6973620723","50,8568789177","41,2645820391","42,3825958338","41,836677345","40,4454555074","41,9043852277","41,6936733831","41,6835164835","42,1320008328","44,8089387252","47,8574218057","48,1376422517","49,0176073721","50,126304897","52,1729718028","52,3173016864","52,2047726844","51,4416896235",
Burkina Faso,BFA,"Services, etc., value added (% of GDP)",NV.SRV.TETC.ZS,"39,5864595299","39,7994403889","40,3131244576","38,4182807474","38,4115743159","43,198880548","42,4095764799","43,1799660214","44,3776567429","44,2096039552","45,7784626763","42,6507271634","42,5617413084","41,7162498823","43,6677323071","42,4332017297","41,1210978532","46,8923865651","45,3386927788","48,4453506625","50,1079693515","49,9373670485","52,1278986984","50,966326736","50,4923728394","44,8533192523","47,340996457","47,7068329554","47,5124196112","47,9588903787","49,6212276645","48,5901877123","48,6054361058","48,0248611469","42,4717411171","42,6483127394","40,5808214416","41,7779645128","41,1089138533","41,4169358041","45,6641306517","43,4749580343","43,9253003495","41,7437997452","44,3041413592","42,9895002838","45,6537848569","48,4565663308","44,1975749168","45,1018055128","41,3804398598","39,0020268607","40,0329902143","43,387220197","44,3480465334","45,600645054",
Bangladesh,BGD,"Services, etc., value added (% of GDP)",NV.SRV.TETC.ZS,"35,5518720552","35,2176462996","35,0175642153","35,0487389633","36,2201388963","36,4582804782","35,7375438523","36,0446932217","37,1819145143","35,4007770658","36,7094171781","41,284850013","34,3259918972","31,2508095136","29,9907187172","26,4348135607","33,6363402736","34,3728691715","31,4399790079","31,8615331335","47,8123961176","46,1222122634","46,4908069571","46,2410309979","41,7568280491","44,3876703957","45,0442288163","45,1806230817","46,0331123538","46,7828248638","46,5501509825","47,8966340814","48,1374101473","49,9330258249","50,0450685326","49,0558183745","52,721069411","52,5385154419","52,4113287822","52,7124825569","52,9136505319","53,2353537262","54,2891518162","55,3405361548","55,671530825","55,809485729","55,5944028538","55,5556370569","55,5689701592","55,705557919","56,0450070322","55,8958791282","56,1623867405","56,087702899","56,2818913386","56,3462045653",
Bulgaria,BGR,"Services, etc., value added (% of GDP)",NV.SRV.TETC.ZS,,,,,,,,,,,,,,,,,,,,,"30,8989183434","29,7266527396","24,9674526255","25,1221322016","24,1126744528","25,2542033318","21,739798572","29,0921278535","30,9584300779","31,7646568587","33,7765282827","39,2970131577","43,5678709692","51,5150361919","51,8847354434","56,9354904887","65,7705655364","53,7397540357","59,9814523245","60,131090115","61,5744722013","61,0460229344","62,3960544697","62,0729710027","63,5093830088","63,2521103395","63,0290346545","64,0401429395","63,576604007","64,648611502","67,8388084834","65,4552367649","65,8387973338","67,0846519232","67,6023713422","67,3412812209",
Bahrain,BHR,"Services, etc., value added (% of GDP)",NV.SRV.TETC.ZS,,,,,,,,,,,,,,,,,,,,,"39,9274674035","41,1841552266","46,060709075","50,6550840216","49,87402111","50,3532153521","55,1076675089","54,631664939","56,8011637095","56,3761753975","53,3160714286","59,2534827447","61,8786050157","61,203641385","61,7146812977","59,1894179862",,,,,,,,,,,,,,,"54,726375878","50,1919593346","52,1751916234","51,7798776117","53,1803170041","59,3858836638",
Bahamas,BHS,"Services, etc., value added (% of GDP)",NV.SRV.TETC.ZS,,,,,,,,,,,,,,,,,,,,,,,,,"83,8677186503","83,9512242268","83,9140306129","83,4272296068",,"79,7597244648","81,0405080675","78,2939485521","78,6508609296","82,0686255206","79,6297825489","80,4105119078","80,2826111587","78,5657862998","79,1054464265","80,6909180246","79,6022310845","83,7658059359","81,7860336879","81,7077762841","82,7570141554","82,4067285194","80,5362566386","84,2555686411","82,7372979093","83,6653598748","81,4055721323","80,5400106965","78,6509076162","79,0070805175","78,3217422232","84,5977439005",
Bosnia and Herzegovina,BIH,"Services, etc., value added (% of GDP)",NV.SRV.TETC.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"38,2913881243","53,6000024224","43,4835550706","47,9468090487","47,1490993597","54,1817832681","66,3936910062","66,1009075338","68,2298374411","67,6426054334","64,3547123375","63,9212851484","63,4738646145","62,9114997342","62,7030340562","63,9136389051","64,4526113963","64,7566635379","66,1566376671","64,8046957326","65,9173489611","65,1182199814",
Belarus,BLR,"Services, etc., value added (% of GDP)",NV.SRV.TETC.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"29,3578199052","29,0669856459","28,6478809226","43,3032188261","49,0235247407","45,5711732881","44,3881338687","43,4481539084","45,5236827631","46,1559887274","46,6765726876","50,8795136453","51,2362838983","51,108432489","48,8021701474","46,087108836","47,1409845616","47,1575455814","44,4438235313","47,0981296387","47,2255569359","47,8462548336","47,2434428441","49,9318473965","50,0223726727","52,2300227682",
Belize,BLZ,"Services, etc., value added (% of GDP)",NV.SRV.TETC.ZS,,,,,,,,,,,,,,,,,,,"43,9857086145","47,3094980137","41,6862514689","46,4138741917","53,1955484897","54,2754275428","52,1668909825","54,6601835664","54,5061099796","49,6452420701","49,2565405609","53,1366459627","57,8251183514","59,8692693215","60,6772701434","61,4050104938","62,5640576697","61,5750087927","61,1653308271","62,2758007534","63,0025687191","63,5211264519","62,0590909606","64,2808127358","65,4690995667","65,7374699994","65,7722618839","67,303053909","64,8765791009","65,5473837394","65,1541363893","65,7201576978","65,1132738148","64,268674958","64,827577935","65,4752186862","65,8988650268","67,419116606",
Bermuda,BMU,"Services, etc., value added (% of GDP)",NV.SRV.TETC.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"90,3937960056","90,6270285148","92,4235348054","90,0818155071","87,6035198886","88,418202648","89,0993487041","89,0968637667","89,007880981","88,7108458341","89,6860626407","90,4883250729","89,6950844496","90,4306450631","91,4431560512","92,3584321619","93,2165037185",,,,
"Bolivia, Plurinational State of",BOL,"Services, etc., value added (% of GDP)",NV.SRV.TETC.ZS,,,,,,,,,,,"46,19522088","47,7344573235","44,8695434019","42,264416315","40,322779352","45,4739037851","45,7460275474","45,205413707","46,6463121123","47,8659406641","48,5526380613","48,0459835575","47,6540917465","43,6136483954","43,9259079887","44,5888380407","46,541287957","49,2859342533","48,8541236332","48,9762488847","48,4937050825","49,2591221856","50,4146132783","51,4377840811","51,2993736343","50,0034492243","51,3462525071","52,2089608378","54,9645883644","56,2456179975","55,1999853422","55,6057805524","55,805825316","55,1904957658","53,6511272749","53,5938242193","51,0423850049","50,7336321974","48,1735599017","49,9266533556","49,8564404407","48,5844404032","48,470952314","48,7091254514","50,1801106394","54,1819027048",
Brazil,BRA,"Services, etc., value added (% of GDP)",NV.SRV.TETC.ZS,"42,3405045832","38,7581463372","49,3204619597","44,6045093158","47,7610348655","47,7106640737","49,1827151015","51,0405636145","49,4899848062","49,4225436939","49,3541060134","48,9370379039","48,5680282621","47,6384393888","47,0170601521","47,7273466224","47,2833219882","46,6804349329","48,2547959231","48,3467999506","45,161109984","45,5449095257","45,4443929011","45,1101793775","42,8244494107","43,1464958713","43,6824323907","44,1101102713","46,2383973285","48,810150474","53,21","56,0499067342","53,5799988204","50,8299999382","50,1471491866","66,7028637933","68,9931847712","68,9602422727","69,4628791203","69,5221877064","67,7276632219","67,7754453233","67,2163115821","65,8317677704","64,6942024643","66,0496945709","67,1800965212","67,6993336575","67,2580418561","69,1751802431","67,7825544736","67,6976343405","69,0237606391","69,768161784","70,8087746147","72,04869597",
Barbados,BRB,"Services, etc., value added (% of GDP)",NV.SRV.TETC.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"67,1908298101","68,4719995821","69,9719238798","69,9507277709","71,2910895904","69,2936971592","69,6698384481","68,2154122913","67,1458399648","67,2883133479","68,0966914211","67,6926930553","69,0356480626","66,9955011308","67,6670419877","67,8752911859","69,6661304154","70,6749634336","69,2194007811","68,8276995791","70,3474141755","71,9976514209","71,9492052283","72,9856581174","73,2593373206",,
Brunei Darussalam,BRN,"Services, etc., value added (% of GDP)",NV.SRV.TETC.ZS,,,,,,,,,,,,,,,"8,1492240654","9,1466936183","8,4212621939","14,2140626479","18,3049465483","14,8939659838","14,5410097029","17,458940864","19,4674264424","21,7001686382","25,4632211687","26,976510197","39,2670768751","38,5612577359","45,5196867844","39,2357589487","37,4755242125","39,4052212666","38,6357138665","41,6875324088","44,9729184687","44,567461997","42,5737640372","42,7273098354","47,0558657817","43,5804283699","35,3058141386","38,8229863383","38,2444117642","34,6302572795","31,0193775691","27,4930673672","26,1173720769","28,0055259095","25,2511287927","33,6858557583","30,6099518459","25,7520490924","26,6941141873","29,2901629931","31,3897211339","37,5351558106",
Bhutan,BTN,"Services, etc., value added (% of GDP)",NV.SRV.TETC.ZS,,,,,,,,,,,,,,,,,,,,,"44,6150652811","41,1732414446","38,4672250171","36,2804878793","35,5385374023","36,75456978","37,7775709868","37,2009458068","38,6132880538","40,4396110418","39,8689341289","40,396073314","37,9701115162","38,2449202353","35,1751072695","34,1319659619","35,0731742339","35,008967569","37,5660978356","37,0830547214","36,6200017078","35,9609405989","35,0588564824","35,446602239","37,3339667282","39,5275256176","38,8789437751","35,3921970636","36,5216410985","38,0828800576","37,9448911856","39,9178490152","38,7647611691","38,3298459197","39,370963461","39,3615872301",
Botswana,BWA,"Services, etc., value added (% of GDP)",NV.SRV.TETC.ZS,"43,261355175","45,8481976013","48,2301854315","50,0982318271","48,1251543735","46,9512195122","46,3414634146",,,,,,,,,"36,4856493909","38,5611027063","39,3395133256","37,6056659813","34,8226466576","34,5741324921","38,4437596302","39,1323257584","37,0274309829","35,0263602219","32,4087962374","31,9801023659","31,0530936047","28,5106150142","30,0834730223","34,1267608846","36,246718312","39,0002774103","41,9432308411","48,9429597128","48,6219868576","47,4652879178","47,0304759221","49,4807248483","47,9954692112","46,4228435438","48,6634957016","50,4249274192","53,7637558702","53,8594511655","50,3336128134","49,7577715582","50,963655364","56,1734999048","64,7292001818","61,5598742864","57,0364489284","62,734019618","60,7372122343","58,9106606742","64,1857694996",
Central African Republic,CAF,"Services, etc., value added (% of GDP)",NV.SRV.TETC.ZS,,,,,,"38,2183649425","36,0881597796","36,3395172414","33,4951213592","34,4036847698","38,461517094","35,8299667672","34,2359834112","34,030418251","38,0029806259","39,3376117536","39,6244781495","40,0687859104","37,9550783923","38,3753458246","39,936911037","41,4181190628","45,2329984754","44,9516120149","42,9730769231","36,4830830175","36,2656600773","37,1840917797","34,0768807901","32,9087280679","30,3661505613","32,7714094908","32,0626093709","31,6951981224","32,8923021427","32,2627410564","31,5974457584","30,6185532896","29,8866327328","33,8363058325","33,2691161993","32,2543146257","32,3924074509","29,3799308806","30,1886180323","30,7879189443","30,5609821484","31,3377603208","30,9152695967","31,661460637","31,9922246523","31,6225735207","32,2606923471","36,6677000898","41,1947562979","41,2051387921",
Canada,CAN,"Services, etc., value added (% of GDP)",NV.SRV.TETC.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"67,3468915384","66,6227359508","71,3072381667","70,0256505392","68,9108697134","69,3560393802",,,,
Central Europe and the Baltics,CEB,"Services, etc., value added (% of GDP)",NV.SRV.TETC.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"56,3835996278","57,2256662717","57,3088006687","58,8162971467","60,526302725","61,5578807664","61,5884443006","62,6673978679","62,7991509384","61,3013513796","62,0635764109","61,8339624764","62,2243031964","62,3578592726","63,3809447225","62,9596710626","61,9046760419","62,9315808362","63,5603707679","63,1473142305","63,1776237843",
Switzerland,CHE,"Services, etc., value added (% of GDP)",NV.SRV.TETC.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"66,4558493539","66,9779337607","67,9420709599","68,5791997318","67,8531979273","68,4644134214","69,7841842318","70,5329511963","71,295336134","71,6646829369","72,4346294121","71,8414548421","71,6688704373","72,1684226955","72,3162862163","72,3366853886","72,1748906738","72,2803106633","71,9263843287","73,0522508896","73,0139370967","72,6638556876","73,1436569347","73,2290242489","73,5773388164","73,8000660346",
Channel Islands,CHI,"Services, etc., value added (% of GDP)",NV.SRV.TETC.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chile,CHL,"Services, etc., value added (% of GDP)",NV.SRV.TETC.ZS,"55,3288035173","53,4854219084","53,7243036398","53,5666608625","49,7083081875","51,3661202186","50,5791505792","50,7462686567","50,643776824","49,8529411765","51,1340206186","52,8991262907","53,6250536251","52,0533520534","44,9536532266","54,9617053766","50,9804375751","53,2723526191","55,4053845825","54,7495331246","55,3033577118","57,1230440786","59,7772918827","54,2438451356","52,0038382673","54,7781626782","54,0417081027","52,7972136378","48,0416014952","49,5483705213","49,8284734377","49,9890521908","52,0139912863","55,0019877708","55,0116670809","55,471220346","53,7349728232","54,0546296057","56,4195826996","56,4534733626","61,9351461959","62,0873694188","61,3829076452","62,0084519571","59,9830983856","58,5381797815","51,2268785425","52,6125776853","57,8775264714","58,4108044431","56,9855961932","57,6976419392","60,1483345689","61,7344987634","61,6864600986","63,3119680323",
China,CHN,"Services, etc., value added (% of GDP)",NV.SRV.TETC.ZS,"32,4331678117","32,2729854743","29,6936843917","27,0688135865","26,6412681135","27,3587081892","24,9377878964","26,3069891874","27,2461441431","27,0614616247","24,9287186911","24,4454393748","24,8119417019","24,2471518758","24,1432966722","22,6879420957","22,6025563809","24,3076923077","24,6038002555","22,3411779051","22,3079605894","22,7136431784","22,5927718018","23,2025112525","25,5286116645","29,3518996802","29,8461864652","30,3599296897","31,2363310585","32,8911447813","32,381880898","34,4775875232","35,5546158231","34,5149860399","34,3613466975","33,6516688159","33,5691289672","35,0044533651","37,042214671","38,5742079669","39,7864581308","41,2220116522","42,2467946243","42,0270407941","41,1819189546","41,3347505244","41,815679564","42,8559798366","42,8166395683","44,3300330525","44,0737398685","44,1648140223","45,3065451395","46,6966509891","47,8371331762","50,192864889",
Côte d'Ivoire,CIV,"Services, etc., value added (% of GDP)",NV.SRV.TETC.ZS,"38,953292873","39,7141933006","40,1140325086","41,1326871792","44,1348313118","44,454299379","44,6740896178","46,3588528799","48,1399718266","51,0031091316","49,6395723808","49,4268680145","50,4612758689","51,2072936187","58,4438436807","54,7153998037","59,1561905156","60,576923731","57,6396674416","56,5376112774","54,3792735657","54,8779389814","54,5865871152","56,637500656","56,3172453764","53,716343602","50,2560214621","48,452804188","45,3098464689","45,4998652954","41,2343615684","42,1075937065","41,5483137861","49,030901979","53,6965462305","54,5043966732","54,9790271536","53,0305373279","53,0452287295","54,8906038435","53,506404626","52,7967556649","51,6260641111","50,1456239415","54,3996656551","54,5899106223","53,8426250023","54,7334782286","52,931902906","53,7532167314","53,0623041183","49,0950008911","55,1248611004","42,8673463052","43,4076846978","43,4049745027",
