Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
Aruba,ABW,Agricultural land (sq. km),AG.LND.AGRI.K2,,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,,,
Andorra,AND,Agricultural land (sq. km),AG.LND.AGRI.K2,,260,260,260,260,260,260,260,260,260,260,250,250,240,240,240,230,230,230,220,220,210,210,210,200,200,200,190,190,190,190,190,190,190,190,190,190,190,187,188,188,187,197,199,199,197,195,194,197,199,201,204,202,208,,,
Afghanistan,AFG,Agricultural land (sq. km),AG.LND.AGRI.K2,,377000,377600,378100,378730,378750,379130,379790,379800,379960,380060,380360,380460,380480,380480,380480,380480,380500,380500,380490,380490,380530,380540,380540,380540,380540,380540,380450,380400,380400,380400,380300,380300,379340,378130,377530,377520,377900,378670,377530,377530,377530,377530,379100,379110,379100,379100,379100,379100,379100,379100,379100,379100,379100,,,
Angola,AGO,Agricultural land (sq. km),AG.LND.AGRI.K2,,571700,572000,572200,572500,572700,573000,573300,573600,574000,574000,574000,574000,574000,574000,574000,574000,574000,574000,574000,574000,574000,574000,574000,574000,574000,574000,574000,574000,574000,574040,574500,575000,575000,575000,575000,575000,575000,575000,574000,573000,573000,573900,575900,575900,575900,575900,576900,576900,582900,583900,589900,589900,591900,,,
Albania,ALB,Agricultural land (sq. km),AG.LND.AGRI.K2,,12320,12320,12330,12300,12370,12400,12440,12400,12350,12300,12000,11740,11460,11220,10800,10750,11090,11140,11170,11180,11160,11140,11100,11130,11120,11110,11110,11170,11100,11210,11270,11270,11260,11260,11270,11310,11350,11390,11450,11440,11390,11400,11210,11220,10770,11200,11190,11810,12013,12013,12010,12013,11873,,,
Arab World,ARB,Agricultural land (sq. km),AG.LND.AGRI.K2,,4215860,4215840,4218970,4220260,4223400,4224290,4231280,4235220,4242770,4251290,4277870,4284320,4283680,4290840,4287780,4297140,4299980,4305790,4307280,4318030,4276396,"4279693,4","4286067,4","4342133,6",4409938,4489258,4564760,4645290,4716088,4772142,4784464,"4806419,8",5344200,5363840,5377560,"5385904,6","5388279,2","5393336,2",5395305,5395402,5400131,5412411,5436802,5444076,5457617,"5460207,5",5466390,"5458218,8","5447600,6",5454416,"5180323,3","5224277,1","5194271,5",,,
United Arab Emirates,ARE,Agricultural land (sq. km),AG.LND.AGRI.K2,,2080,2080,2080,2080,2090,2100,2100,2100,2100,2120,2120,2120,2130,2140,2150,2160,2170,2180,2190,2230,2270,2270,2320,2320,2350,2380,2380,2390,2390,2850,3100,3390,3550,3720,3830,3920,4000,4030,5210,5520,5670,5710,5590,5590,5620,5436,5376,5446,3929,3973,3935,3817,3823,,,
Argentina,ARG,Agricultural land (sq. km),AG.LND.AGRI.K2,,1378290,1364340,1348750,1332970,1317800,1309480,1297030,1292350,1293020,1292800,1291540,1290280,1289020,1287760,1286500,1285240,1283980,1282720,1281460,1280200,1278940,1287690,1286440,1285170,1283910,1282650,1279390,1273800,1274700,1275650,1276600,1277550,1278500,1279480,1280450,1281420,1282350,1283300,1284120,1285100,1286060,1287100,1308835,1343450,1377975,1411040,1440330,1442610,1437920,1474810,1482810,1492540,1491990,,,
Armenia,ARM,Agricultural land (sq. km),AG.LND.AGRI.K2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11700,11810,12000,12440,13060,13320,13280,13230,13230,13280,13910,14440,15050,16050,17564,17519,17473,17463,17350,16981,16830,16821,,,
American Samoa,ASM,Agricultural land (sq. km),AG.LND.AGRI.K2,,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,32,32,32,35,40,40,47,"47,9",48,45,45,"50,4",50,50,50,48,48,49,49,49,49,49,,,
Antigua and Barbuda,ATG,Agricultural land (sq. km),AG.LND.AGRI.K2,,100,90,100,90,110,110,100,100,110,110,110,70,70,70,70,70,70,70,70,70,70,70,70,80,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,,,
Australia,AUS,Agricultural land (sq. km),AG.LND.AGRI.K2,,4615850,4636880,4664710,4690090,4729760,4741540,4767280,4748210,4789430,4817870,4832530,4844570,4870170,4877270,4868370,4877730,4786110,4765300,4804770,4829260,4827410,4780810,4711250,4730390,4729600,4708850,4710200,4722830,4670770,4644810,4629740,4661780,4602860,4691000,4633480,4652210,4622000,4637860,4537290,4555000,4557000,4470000,4395000,4401100,4451490,4349250,4254490,4172880,4090290,3985800,4096726,4054740,3966153,,,
Austria,AUT,Agricultural land (sq. km),AG.LND.AGRI.K2,,40500,40410,39900,39840,39840,39350,39270,39220,38970,38960,38940,38940,37930,37930,37900,36890,36980,37160,36620,36750,36890,36750,35020,35080,35110,34990,34990,35320,35480,35000,35190,34920,34520,34500,34320,34260,34170,34140,33540,33730,33691,33681,"33690,3",32552,"32566,5","32354,2","32342,2",32018,31940,"31848,1","31808,1","31654,1","31544,7",,,
Azerbaijan,AZE,Agricultural land (sq. km),AG.LND.AGRI.K2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44462,44566,44860,44891,45262,45887,46821,46924,47404,47456,47449,47546,47549,47586,47560,47565,47567,47573,47668,47687,47683,47698,,,
Burundi,BDI,Agricultural land (sq. km),AG.LND.AGRI.K2,,15750,15900,16040,16050,16240,16210,16660,16760,18970,18800,18990,19060,20000,20300,20600,20950,21430,21200,21000,20880,20750,20600,20600,20600,20600,20820,20920,21050,21050,21100,21100,21200,21230,20730,20370,19930,19520,19130,18870,18670,18510,18340,18330,18480,18190,17830,17330,17830,18330,18330,18830,19330,20330,,,
Belgium,BEL,Agricultural land (sq. km),AG.LND.AGRI.K2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13900,13890,13910,13940,13930,13850,13820,13690,13680,13580,13570,13360,13330,13365,,,
Benin,BEN,Agricultural land (sq. km),AG.LND.AGRI.K2,,14420,14620,14820,15020,15220,15520,15920,16220,17070,17270,17770,18070,18270,18570,18970,19270,19570,19770,19970,20270,20570,20900,21000,21100,21300,21900,22000,22100,22200,22700,22800,22950,23200,24000,25200,27100,28900,30500,31100,31950,32650,33650,34670,35670,35200,33350,33400,34450,33500,34400,35300,37000,37500,,,
Burkina Faso,BFA,Agricultural land (sq. km),AG.LND.AGRI.K2,,81390,81490,81590,81690,81790,81900,82000,82100,82220,82360,82200,83020,83730,84530,85360,85850,86350,86850,87350,87850,88350,88850,89350,89850,90350,90850,91400,95640,96000,95750,95500,95250,95000,94310,94500,95500,98500,99700,99700,97700,105700,107700,111700,106700,109700,107700,109700,120700,117700,120800,117900,121000,123000,,,
Bangladesh,BGD,Agricultural land (sq. km),AG.LND.AGRI.K2,,94800,94770,94800,95200,96370,96500,96950,96690,96750,96970,96950,99910,99890,99890,100040,99980,99910,99870,99830,99870,99810,99780,99640,100600,100270,100410,101150,104270,104430,103860,103200,95490,94460,93580,93740,93270,93650,94340,94860,94000,94030,93530,93280,93230,93110,92800,92660,92530,92460,92410,91280,91200,91080,,,
Bulgaria,BGR,Agricultural land (sq. km),AG.LND.AGRI.K2,,56730,56850,56930,57720,57930,58020,58630,58810,60220,60100,60090,60220,59820,60380,59550,61980,62060,62110,62060,61810,61790,61820,61770,61720,61690,61660,61660,61620,61680,61590,61610,61540,61210,61590,61640,61640,62030,56450,56790,55820,54980,53250,53260,53300,52650,51900,51160,51010,50300,50520,50880,51230,49950,,,
Bahrain,BHR,Agricultural land (sq. km),AG.LND.AGRI.K2,,70,70,70,70,70,70,70,70,70,70,70,70,70,70,80,100,100,100,100,100,90,80,80,80,80,80,80,80,80,80,80,90,90,90,90,90,90,90,100,92,92,92,89,87,87,"85,5",84,82,"83,6",86,86,86,86,,,
Bahamas,BHS,Agricultural land (sq. km),AG.LND.AGRI.K2,,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,110,110,110,110,110,110,110,110,110,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,130,130,130,130,130,130,130,130,130,150,150,140,140,140,,,
Bosnia and Herzegovina,BIH,Agricultural land (sq. km),AG.LND.AGRI.K2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22000,21900,21800,21750,21700,21650,21600,21050,21300,21260,21230,21690,21694,21570,21590,21490,21300,21280,21440,21510,21560,21580,,,
