Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
Aruba,ABW,Arable land (% of land area),AG.LND.ARBL.ZS,,"11,1111111111","11,1111111111","11,1111111111","11,1111111111","11,1111111111","11,1111111111","11,1111111111","11,1111111111","11,1111111111","11,1111111111","11,1111111111","11,1111111111","11,1111111111","11,1111111111","11,1111111111","11,1111111111","11,1111111111","11,1111111111","11,1111111111","11,1111111111","11,1111111111","11,1111111111","11,1111111111","11,1111111111","11,1111111111","11,1111111111","11,1111111111","11,1111111111","11,1111111111","11,1111111111","11,1111111111","11,1111111111","11,1111111111","11,1111111111","11,1111111111","11,1111111111","11,1111111111","11,1111111111","11,1111111111","11,1111111111","11,1111111111","11,1111111111","11,1111111111","11,1111111111","11,1111111111","11,1111111111","11,1111111111","11,1111111111","11,1111111111","11,1111111111","11,1111111111","11,1111111111","11,1111111111",,,
Andorra,AND,Arable land (% of land area),AG.LND.ARBL.ZS,,"2,1276595745","2,1276595745","2,1276595745","2,1276595745","2,1276595745","2,1276595745","2,1276595745","2,1276595745","2,1276595745","2,1276595745","2,1276595745","2,1276595745","2,1276595745","2,1276595745","2,1276595745","2,1276595745","2,1276595745","2,1276595745","2,1276595745","2,1276595745","2,1276595745","2,1276595745","2,1276595745","2,1276595745","2,1276595745","2,1276595745","2,1276595745","2,1276595745","2,1276595745","4,2553191489","4,2553191489","4,2553191489","4,2553191489","4,2553191489","4,2553191489","4,2553191489","4,2553191489","4,6808510638","4,8936170213","4,8936170213","5,1063829787","5,3191489362","5,3191489362","5,3191489362","5,3191489362","5,1063829787","4,8936170213","4,6808510638","4,8936170213","5,3191489362","5,5319148936","5,1063829787","6,170212766",,,
Afghanistan,AFG,Arable land (% of land area),AG.LND.ARBL.ZS,,"11,717673008","11,7942591061","11,8708452042","11,9474313023","11,9474313023","12,0010415709","12,0148270686","12,0148270686","12,03933462","12,0546518396","12,1006034985","12,1159207181","12,1159207181","12,1159207181","12,1159207181","12,1159207181","12,1159207181","12,1159207181","12,1159207181","12,1159207181","12,1159207181","12,1159207181","12,1159207181","12,1159207181","12,1159207181","12,1159207181","12,1159207181","12,1159207181","12,1159207181","12,1159207181","12,1159207181","12,1159207181","11,9841926294","11,798854272","11,7222681739","11,7130778421","11,7712832767","11,8815672579","11,7222681739","11,7682198327","11,7682198327","11,7605612229","11,9045430873","11,9719388537","11,9550899121","11,9382409705","11,9382409705","11,9382409705","11,9367092485","11,9367092485","11,9336458046","11,9321140827","11,9244554728",,,
Angola,AGO,Arable land (% of land area),AG.LND.ARBL.ZS,,"2,1416539665","2,1657174942","2,181759846","2,2058233737","2,2218657255","2,2459292532","2,2699927809","2,2940563087","2,3261410123","2,3261410123","2,3261410123","2,3261410123","2,3261410123","2,3261410123","2,3261410123","2,3261410123","2,3261410123","2,3261410123","2,3261410123","2,3261410123","2,3261410123","2,3261410123","2,3261410123","2,3261410123","2,3261410123","2,3261410123","2,3261410123","2,3261410123","2,3261410123","2,3261410123","2,3662468918","2,4063527713","2,4063527713","2,4063527713","2,4063527713","2,4063527713","2,4063527713","2,4063527713","2,4063527713","2,4063527713","2,4063527713","2,4865645304","2,6469880484","2,6469880484","2,6469880484","2,6469880484","2,7271998075","2,7271998075","3,2084703618","3,2886821208","3,7699526751","3,7699526751","3,9303761931",,,
Albania,ALB,Arable land (% of land area),AG.LND.ARBL.ZS,,"15,7664233577","15,9124087591","16,0583941606","16,1678832117","16,7883211679","17,3357664234","17,8102189781","18,2481751825","18,6131386861","19,0145985401","19,3430656934","19,7080291971",20,"20,3284671533","20,5474452555","20,9854014599","21,1678832117","21,2773722628","21,2773722628","21,3503649635","21,4598540146","21,496350365","21,496350365","21,496350365","21,496350365","21,496350365","21,5328467153","21,5328467153","21,2408759124","21,1313868613","21,0948905109","21,0948905109","21,0583941606","21,0583941606","21,0583941606","21,0583941606","21,0948905109","21,0583941606","21,0583941606","21,0948905109","21,0948905109","21,0948905109","21,0948905109","21,0948905109","19,6350364964","21,3138686131","21,0948905109","22,2627737226","22,2262773723","22,8467153285","22,700729927","22,5948905109","22,5218978102",,,
Arab World,ARB,Arable land (% of land area),AG.LND.ARBL.ZS,,"3,382112093","3,3837268867","3,4004620218","3,428280514","3,4623379821","3,4541172139","3,475256332","3,4674025624","3,484798295","3,5052768157","3,5915214814","3,5676665739","3,5760446407","3,605478013","3,6102490085","3,6500317712","3,641737579","3,6592067625","3,6510593702","3,6443065765","3,6683523939","3,6844636788","3,6707848677","3,7058421427","3,7280412179","3,7516025957","3,7881704414","3,7967582333","3,8062855444","3,8482996649","3,9006484957","3,961533795","4,1534758009","4,1404840322","4,2018462845","4,2261753899","4,2181351733","4,2122411675","4,1905427117","4,1144270949","4,1106323241","4,1450715212","4,2828628746","4,2344508196","4,2902616746","4,2443344563","4,2756665102","4,2134991828","4,1413778646","4,1641400669","4,0322784546","4,355376987","4,1242210517",,,
United Arab Emirates,ARE,Arable land (% of land area),AG.LND.ARBL.ZS,,"0,0598086124","0,0598086124","0,0598086124","0,0598086124","0,0598086124","0,0717703349","0,0717703349","0,0717703349","0,0717703349","0,0837320574","0,0837320574","0,0837320574","0,0956937799","0,1076555024","0,1315789474","0,1315789474","0,1435406699","0,1435406699","0,1435406699","0,1913875598","0,2272727273","0,2153110048","0,2751196172","0,2870813397","0,3110047847","0,3468899522","0,3468899522","0,3468899522","0,3468899522","0,4186602871","0,4186602871","0,4545454545","0,4784688995","0,5023923445","0,514354067","0,5502392344","0,538277512","0,4306220096","0,514354067","0,7177033493","0,8492822967","0,8971291866","0,7655502392","0,7535885167","0,8133971292","0,6052631579","0,533492823","0,6172248804","0,5968899522","0,6052631579","0,5394736842","0,4437799043","0,4485645933",,,
Argentina,ARG,Arable land (% of land area),AG.LND.ARBL.ZS,,"6,7954353617","7,0084664321","7,1619364999","7,3080984693","7,476550139","7,8956695863","8,1635113952","8,7152728296","9,462891303","9,5005280101","9,5005280101","9,5005280101","9,5005280101","9,5005280101","9,5005280101","9,5005280101","9,5005280101","9,5005280101","9,5005280101","9,5005280101","9,5005280101","9,8659329336","9,8659329336","9,8659329336","9,8659329336","9,8659329336","9,7928519489","9,634631617","9,6722683241","9,7106358411","9,7490033581","9,787370875","9,825738392","9,8652021237","9,9043004505","9,9433987774","9,9828625091","10,0212300261","10,0603283529","10,0997920846","10,1385250065","10,1809119776","10,4810921222","11,2453365197","12,0209084697","12,7358232025","13,3127975766","12,8845430063","12,5304656355","13,8784443982","14,1707683369","14,5263073275","14,5062100567",,,
Armenia,ARM,Arable land (% of land area),AG.LND.ARBL.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14,8577449947","15,2089919213","15,2792413066","15,2792413066","15,8061116965","15,9817351598","15,9817351598","15,8061116965","15,8061116965","15,9817351598","15,9817351598","15,9817351598","15,9817351598","15,9817351598","15,9079733052","15,8798735511","15,8201615736","15,7850368809","15,7534246575","15,7780119424","15,7499121883","15,7428872497",,,
American Samoa,ASM,Arable land (% of land area),AG.LND.ARBL.ZS,,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,6,6,6,"7,5",10,10,12,"12,5","12,5","12,5","12,5","16,7","16,5","16,5","16,5",15,"14,8",15,15,15,15,15,,,
