Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
Aruba,ABW,Forest area (% of land area),AG.LND.FRST.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2,3333333333","2,3333333333","2,3333333333","2,3333333333","2,3333333333","2,3333333333","2,3333333333","2,3333333333","2,3333333333","2,3333333333","2,3333333333","2,3333333333","2,3333333333","2,3333333333","2,3333333333","2,3333333333","2,3333333333","2,3333333333","2,3333333333","2,3333333333","2,3333333333","2,3333333333","2,3333333333","2,3333333333","2,3333333333","2,3333333333",
Andorra,AND,Forest area (% of land area),AG.LND.FRST.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"34,0425531915","34,0425531915","34,0425531915","34,0425531915","34,0425531915","34,0425531915","34,0425531915","34,0425531915","34,0425531915","34,0425531915","34,0425531915","34,0425531915","34,0425531915","34,0425531915","34,0425531915","34,0425531915","34,0425531915","34,0425531915","34,0425531915","34,0425531915","34,0425531915","34,0425531915","34,0425531915","34,0425531915","34,0425531915","34,0425531915",
Afghanistan,AFG,Forest area (% of land area),AG.LND.FRST.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2,0678246485","2,0678246485","2,0678246485","2,0678246485","2,0678246485","2,0678246485","2,0678246485","2,0678246485","2,0678246485","2,0678246485","2,0678246485","2,0678246485","2,0678246485","2,0678246485","2,0678246485","2,0678246485","2,0678246485","2,0678246485","2,0678246485","2,0678246485","2,0678246485","2,0678246485","2,0678246485","2,0678246485","2,0678246485","2,0678246485",
Angola,AGO,Forest area (% of land area),AG.LND.FRST.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"48,9099221946","48,8098179193","48,709713644","48,6096093687","48,5095050934","48,4094008182","48,3092965429","48,2091922676","48,1090879923","48,008983717","47,9088794417","47,8087751664","47,7086708912","47,6085666159","47,5084623406","47,4083580653","47,30825379","47,2081495147","47,1080452394","47,0079409641","46,9078366889","46,8077324136","46,7076281383","46,607523863","46,5074195877","46,4073153124",
Albania,ALB,Forest area (% of land area),AG.LND.FRST.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"28,7883211679","28,7171532847","28,6459854015","28,5748175182","28,503649635","28,4324817518","28,3613138686","28,2901459854","28,2189781022","28,147810219","28,0766423358","28,1722627737","28,2678832117","28,3635036496","28,4591240876","28,5547445255","28,5102189781","28,4656934307","28,4211678832","28,3766423358","28,3321167883","28,297080292","28,2620437956","28,2270072993","28,1919708029","28,1569343066",
Arab World,ARB,Forest area (% of land area),AG.LND.FRST.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"3,684247883","3,667273415","3,6502935883","3,6333191451","3,616344702","3,5993702589","3,5823958157","3,5654213726","3,5484469295","3,5314732203","3,5144980432","3,50255369","3,4906078687","3,4787087421","3,4667653076","3,4548182519","3,4472185663","3,4396305143","3,4320435358","3,4250915709","3,4175084608","2,8742036066","2,8563223002","2,8384416269","2,8205609536","2,8026802803",
United Arab Emirates,ARE,Forest area (% of land area),AG.LND.FRST.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2,9306220096","3,0083732057","3,0861244019","3,1638755981","3,2416267943","3,3193779904","3,3971291866","3,4748803828","3,5526315789","3,6303827751","3,7081339713","3,7129186603","3,7177033493","3,7224880383","3,7272727273","3,7320574163","3,7447368421","3,7574162679","3,7700956938","3,7827751196","3,7954545455","3,8081339713","3,8208133971","3,833492823","3,8461722488","3,8588516746",
Argentina,ARG,Forest area (% of land area),AG.LND.FRST.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"12,7135335022","12,6063602381","12,499186974","12,39201371","12,2848404459","12,1776671819","12,0704939178","11,9633206538","11,8561473897","11,7489741257","11,6418008616","11,5194632932","11,3971257249","11,2747881565","11,1524505881","11,0301130197","10,9139142541","10,7977154884","10,6815167228","10,5653179571","10,4491191914","10,3406670101","10,2322148289","10,1237626476","10,0153104663","9,906858285",
Armenia,ARM,Forest area (% of land area),AG.LND.FRST.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"11,7667720407","11,7527221637","11,7527221637","11,7456972251","11,7386722866","11,7316473481","11,7246224096","11,717597471","11,7105725325","11,703547594","11,6965226554","11,6894977169","11,6824727784","11,6754478398","11,6684229013","11,6613979628","11,6543730242","11,6473480857","11,6403231472","11,6332982086","11,6262732701","11,6332982086","11,6403231472","11,6473480857","11,6543730242","11,6613979628",
American Samoa,ASM,Forest area (% of land area),AG.LND.FRST.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"91,95","91,75","91,6","91,45","91,25","91,1","90,95","90,75","90,6","90,4","90,25","90,1","89,9","89,75","89,55","89,4","89,25","89,05","88,9","88,75","88,55","88,4","88,2","88,05","87,9","87,7",
Antigua and Barbuda,ATG,Forest area (% of land area),AG.LND.FRST.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"23,4090909091","23,3409090909","23,2727272727","23,2045454545","23,1363636364","23,0681818182",23,"22,9318181818","22,8636363636","22,7954545455","22,7272727273","22,6363636364","22,5454545455","22,4545454545","22,3636363636","22,2727272727","22,2727272727","22,2727272727","22,2727272727","22,2727272727","22,2727272727","22,2727272727","22,2727272727","22,2727272727","22,2727272727","22,2727272727",
Australia,AUS,Forest area (% of land area),AG.LND.FRST.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"16,7320984601","16,7360035406","16,7399086211","16,7438137016","16,7477187821","16,7516238626","16,7555289432","16,7594340237","16,7633391042","16,7672441847","16,7711492652","16,7399086211","16,708667977","16,677427333","16,6461866889","16,6149460448","16,4996160004","16,384285956","16,2689559116","16,1536258673","16,0382958229","16,0783879828","16,1184801427","16,1585723026","16,1986644625","16,2387566224",
Austria,AUT,Forest area (% of land area),AG.LND.FRST.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"45,7253572294","45,8004359409","45,8755146525","45,950593364","46,0256720756","46,1007507871","46,1758294987","46,2509082102","46,3259869218","46,4010656333","46,4761443449","46,5076289659","46,5391135868","46,5705982078","46,6020828288","46,6335674497","46,655364495","46,678292039","46,7000896122","46,725848058","46,7533096741","46,7790779369","46,8088199661","46,8357344513","46,8575444378","46,8793544244",
Azerbaijan,AZE,Forest area (% of land area),AG.LND.FRST.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"10,2382926565","10,2839564031","10,2839564031","10,307989954","10,3320235048","10,3560570556","10,3800906065","10,4041241573","10,4438453762","10,5168974064","10,5538405666","10,5670427582","10,5783243361","10,5870396361","10,5975420941","10,6121461408","10,9323910597","11,2507715209","11,5683735341","11,8864225025","12,1987514518","12,5156669651","12,8328776404","13,1499292273","13,467136065","13,7843429028",
Burundi,BDI,Forest area (% of land area),AG.LND.FRST.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"11,253894081","10,8995327103","10,5451713396","10,1908099688","9,8364485981","9,4820872274","9,1277258567","8,773364486","8,4190031153","8,0646417445","7,7102803738","7,5778816199","7,445482866","7,3130841121","7,1806853583","7,0482866044","7,6090342679","8,1697819315","8,730529595","9,2912772586","9,8520249221","10,031152648","10,2102803738","10,3894080997","10,5685358255","10,7476635514",
Belgium,BEL,Forest area (% of land area),AG.LND.FRST.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"22,0376486129","22,0832232497","22,1287978864","22,1743725231","22,2199471598","22,2655217966","22,3117569353","22,357992074","22,4042272127","22,4504623514","22,4966974901","22,5112285337","22,5257595773","22,5402906209","22,5548216645","22,5693527081",
Benin,BEN,Forest area (% of land area),AG.LND.FRST.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"51,0908123448","50,4700248315","49,8492373182","49,2284498049","48,6076622916","47,9868747783","47,366087265","46,7452997517","46,1245122384","45,5037247251","44,8829372118","44,4395175594","43,9960979071","43,5526782547","43,1092586023","42,66583895","42,2224192976","41,7789996453","41,3355799929","40,8921603405","40,4487406882","40,0053210358","39,5619013835","39,1184817311","38,6750620788","38,2316424264",
Burkina Faso,BFA,Forest area (% of land area),AG.LND.FRST.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"25,0255847953","24,8066520468","24,5877192982","24,3687865497","24,1498538012","23,9309210526","23,7119883041","23,4930555556","23,274122807","23,0551900585","22,8362573099","22,6176900585","22,399122807","22,1805555556","21,9619883041","21,7434210526","21,524122807","21,3048245614","21,0855263158","20,8662280702","20,6469298246","20,4283625731","20,2097953216","19,9912280702","19,7726608187","19,5540935673",
